DateTime,Hour,Session ID,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Source_File,Start_Time
2023-05-23 21:00:00,22,43,21:00-21:15,6074.40,8309.80,5129.49,4863.92,3719.98,May%202023.xlsx,21:00
2023-05-23 14:45:00,15,30,14:45-15:00,6076.40,7004.80,4050.02,4050.02,5779.1,May%202023.xlsx,14:45
2023-05-20 16:45:00,17,34,16:45-17:00,6080.20,4611.80,3378.94,3378.94,6936.37,May%202023.xlsx,16:45
2023-05-23 12:15:00,13,25,12:15-12:30,6080.90,7985.10,4348.72,4348.72,5486.67,May%202023.xlsx,12:15
2023-05-21 21:00:00,22,43,21:00-21:15,6081.20,4357.50,3889.80,3889.8,5750.47,May%202023.xlsx,21:00
2023-05-30 11:30:00,12,24,11:30-11:45,6089.40,6608.20,3570.00,3570.0,5080.32,May%202023.xlsx,11:30
2023-05-26 22:30:00,23,46,22:30-22:45,6089.90,4412.30,3567.20,3567.2,6499.04,May%202023.xlsx,22:30
2023-05-21 21:15:00,22,43,21:15-21:30,6090.40,4248.00,3856.71,3856.71,5999.44,May%202023.xlsx,21:15
2023-05-17 03:45:00,4,8,03:45-04:00,6093.70,4932.30,3269.60,3269.6,6200.66,May%202023.xlsx,03:45
2023-05-20 02:15:00,3,5,02:15-02:30,6095.40,3604.70,3085.85,3085.85,4500.84,May%202023.xlsx,02:15
2023-05-23 02:30:00,3,6,02:30-02:45,6095.60,5836.20,3683.81,3683.81,9989.31,May%202023.xlsx,02:30
2023-05-18 06:15:00,7,13,06:15-06:30,6107.00,7472.70,5549.60,5549.6,3000.45,May%202023.xlsx,06:15
2023-05-29 14:00:00,15,29,14:00-14:15,6107.80,7291.50,4058.10,4058.1,4000.33,May%202023.xlsx,14:00
2023-05-06 21:30:00,22,44,21:30-21:45,6112.90,3860.90,3757.58,3757.58,9734.13,May%202023.xlsx,21:30
2023-05-13 22:45:00,23,46,22:45-23:00,6115.00,3085.00,2857.20,2857.2,8000.5,May%202023.xlsx,22:45
2023-05-17 03:30:00,4,8,03:30-03:45,6119.20,4845.30,3268.90,3268.9,6999.55,May%202023.xlsx,03:30
2023-05-28 03:00:00,4,7,03:00-03:15,6120.50,5109.50,3860.07,3860.07,6500.86,May%202023.xlsx,03:00
2023-05-30 13:30:00,14,28,13:30-13:45,6124.10,7770.40,4566.00,4566.0,3764.23,May%202023.xlsx,13:30
2023-05-29 04:15:00,5,9,04:15-04:30,6125.90,7541.80,5375.70,5375.7,2510.02,May%202023.xlsx,04:15
2023-05-19 03:15:00,4,7,03:15-03:30,6128.50,3824.40,3535.40,3535.4,8999.44,May%202023.xlsx,03:15
2023-05-23 14:00:00,15,29,14:00-14:15,6138.50,7182.70,3940.78,3940.78,5999.16,May%202023.xlsx,14:00
2023-05-22 19:30:00,20,40,19:30-19:45,6141.70,5976.30,2982.40,2982.4,8500.05,May%202023.xlsx,19:30
2023-05-21 05:00:00,6,11,05:00-05:15,6143.10,4269.00,3062.60,3062.6,5999.75,May%202023.xlsx,05:00
2023-05-21 22:15:00,23,45,22:15-22:30,6143.90,4346.50,3729.29,3729.29,6006.28,May%202023.xlsx,22:15
2023-05-29 04:30:00,5,10,04:30-04:45,6144.70,7537.70,5327.60,5327.6,2510.6,May%202023.xlsx,04:30
2023-05-29 01:30:00,2,4,01:30-01:45,6154.10,4714.50,3185.10,3185.1,4508.03,May%202023.xlsx,01:30
